#{"t_start": 1776887679.3879743, "env_id": "None"}
r,l,t
-17.310085,13,521.110712
71.014464,88,525.570874
18.002595,18,526.520789
55.570457,17,527.39729
35.024752,15,528.208855
58.596237,16,529.043966
102.928961,38,530.915903
214.447664,51,533.484168
8.270694,11,534.122575
17.012783,12,534.837065
-1110.088337,86,541.446884
135.433955,31,542.971052
16.337617,14,543.723741
17.187464,51,546.288359
26.170041,16,547.17171
14.608849,12,547.827173
25.631619,15,548.638971
0.371511,11,549.237937
1.490844,14,549.989892
23.676091,14,550.805054
4.132369,16,551.684461
-7.873039,14,552.427593
24.921182,13,553.111754
52.764084,18,554.052461
13.314641,11,554.648975
-188.919425,64,557.961822
19.524199,16,558.815093
73.460794,32,560.416383
-8040.486341,232,571.716502
23.702511,14,572.49028
81.377981,26,573.805862
2.043949,14,574.571106
42.443537,25,575.818643
44.03668,26,577.180111
-113.315086,23,578.343873
87.268319,33,579.984401
-179.325129,57,582.885685
4.973934,15,583.665935
53.823368,17,584.528561
-1269.505397,259,596.933854
-138.563897,76,600.651137
13.512953,11,601.245621
22.843061,15,602.029689
3.509462,11,602.639931
79.717529,72,606.137787
15.87769,12,606.792865
62.085102,20,607.862256
121.678867,24,609.129053
53.571321,18,610.091012
-101.38418,30,611.66699
-1650.182897,45,613.881349
154.407462,82,618.015554
-254.832232,27,619.370234
93.550198,31,620.940429
-16.17132,55,623.601194
-295.738428,89,627.973073
12.704568,12,628.646489
-121.50972,17,629.54258
45.693506,16,630.430871
22.712122,15,631.239804
55.552507,19,632.246174
-5.017006,18,633.147712
58.387126,16,633.99837
24.852802,14,634.770285
21.601184,13,635.530293
-130.53655,83,639.644979
-297.354729,29,641.118392
328.673017,35,642.948647
11.761243,50,645.475981
10.350553,12,646.196783
18.863906,16,647.062872
77.557028,23,648.232499
12.103804,13,648.931965
12.771874,18,649.863693
-308.936263,158,657.715573
-521.131966,74,661.288482
12.930042,17,662.184907
1.765871,12,662.850069
56.395038,48,665.226544
-6.754232,14,665.952735
-117.017343,51,668.491611
14.227518,14,669.217544
66.901275,19,670.200479
-15.263428,11,670.807685
-84.437769,86,675.008334
26.901325,17,675.899644
43.241426,16,676.740407
17.670495,12,677.403088
28.295044,14,678.156687
96.796526,20,679.24726
444.481995,118,685.068712
-56.453964,50,687.540778
-630.266009,34,689.280025
-34.941807,36,691.115089
78.010425,25,692.391537
133.004997,29,693.842162
16.266121,13,694.533767
-95.427118,23,695.784957
-484.825573,50,698.242576
-5.053839,11,698.85497
-396.526324,26,700.162818
18.799314,13,700.891941
69.821329,20,701.919594
30.023076,15,702.765855
40.256098,14,703.578774
26.402978,18,704.509929
-8.481572,15,705.295863
22.420593,20,706.338067
-16.591835,14,707.097982
28.555058,19,708.167974
35.700064,15,709.010645
-103.3834,15,709.797628
-10.380472,14,710.527311
56.341671,15,711.343829
33.759193,20,712.373837
2.887804,12,712.997435
-245.138669,30,714.569488
-144.839805,219,725.200742
-1047.955201,40,727.188144
115.705392,67,730.471182
51.247994,18,731.430488
2.533657,16,732.304065
61.742663,20,733.346312
23.581438,15,734.13546
-189.689507,44,736.322262
-351.735587,160,744.117924
21.508601,13,744.821009
56.146762,19,745.811246
107.180497,25,747.134424
8.168619,13,747.854968
-103.640155,86,752.117277
10.18971,14,752.861738
-5.58698,11,753.483093
130.509642,22,754.634089
97.318314,48,757.087331
92.364679,58,759.933504
21.193476,13,760.635426
25.186727,18,761.583362
18.988627,14,762.315718
60.545885,20,763.341002
43.440757,24,764.59424
0.281967,16,765.469774
-211.876482,55,768.188982
