#{"t_start": 1776865388.9570847, "env_id": "None"}
r,l,t
16.09859,12,400.625649
20.601662,13,401.213684
16.571194,12,401.769424
36.81079,15,402.425452
23.152856,13,403.070853
28.659854,15,403.736174
40.722788,16,404.425711
6.103658,11,404.905417
41.992858,14,405.520202
23.403006,13,406.134928
38.598154,14,406.748738
27.291681,14,407.368909
20.251851,13,407.953411
24.837555,13,408.577908
14.568752,12,409.11455
26.562171,13,409.695727
52.604705,16,410.400995
23.440653,15,411.048364
15.03712,12,411.701912
4.566221,11,412.179116
24.981572,14,412.790637
57.970264,15,413.443025
27.808804,13,414.03065
16.279699,12,414.548056
33.55389,13,415.124275
35.329398,13,415.680779
34.53328,13,416.227633
56.499049,16,416.91309
36.327529,13,417.48338
29.108434,13,418.044752
20.227535,12,418.618114
19.547001,12,419.144998
35.146314,13,419.71967
14.827052,11,420.208176
13.960423,11,420.688965
20.462244,12,421.209992
19.689587,12,421.749446
16.318416,11,422.257935
16.688735,11,422.748108
15.002961,11,423.235071
37.586378,13,423.805622
24.188665,12,424.354903
14.046357,11,424.871717
15.979916,11,425.354157
19.679869,12,425.873818
25.09389,13,426.475298
29.165493,14,427.093194
16.358525,12,427.644906
54.962025,15,428.315917
17.855696,11,428.834771
15.662876,12,429.349469
54.875385,14,429.941656
21.418312,13,430.522155
37.317634,14,431.146786
56.060887,15,431.803347
29.24287,13,432.369164
19.919391,12,432.916279
17.571398,12,433.449309
15.173975,11,433.944462
17.949464,12,434.458187
26.004466,13,435.013873
35.542656,13,435.603285
16.958922,12,436.137385
33.687023,13,436.689215
29.315098,13,437.249428
37.549361,14,437.871956
25.683077,12,438.433663
18.861692,12,438.971073
71.825754,16,439.7018
13.070945,11,440.174408
23.409026,13,440.72944
35.697539,14,441.348187
23.04346,13,441.951732
37.727503,13,442.601309
18.599502,12,443.142342
21.907696,13,443.727141
75.544616,16,444.459871
42.765188,14,445.070647
40.553928,14,445.670075
55.105948,15,446.324471
17.628549,12,446.884485
73.741683,16,447.578283
37.418291,13,448.152505
42.707669,14,448.790787
32.357253,12,449.321086
26.210554,12,449.83579
22.999703,12,450.684907
16.737661,12,451.207373
33.682308,13,451.780793
20.023384,13,452.355852
54.607048,15,453.043058
20.964538,12,453.571739
34.323701,13,454.150867
26.263266,12,454.695661
20.923596,12,455.220365
24.651431,12,455.772449
37.568771,13,456.379282
23.790777,12,456.899163
15.825229,12,457.433201
53.3239,14,458.035787
15.086083,11,458.568909
26.568164,12,459.108986
51.629494,14,459.721436
26.530421,12,460.297873
16.933482,11,460.778121
24.786483,12,461.340219
20.465136,12,461.874969
13.993485,11,462.377524
25.403122,12,462.891561
19.108111,12,463.4172
35.096825,13,464.008486
16.282081,11,464.499465
37.608962,13,465.065727
19.237008,12,465.619752
16.261591,11,466.129058
15.097531,11,466.606324
22.41694,12,467.136823
26.283358,13,467.70033
37.788278,13,468.288116
19.147376,12,468.839648
20.304404,12,469.405048
20.307597,12,469.939018
22.99005,12,470.480711
22.445306,12,470.99138
27.981628,13,471.575618
17.33717,12,472.111133
18.340754,12,472.634626
53.91379,15,473.278251
52.15693,15,473.943865
38.062045,13,474.561816
17.240081,12,475.099015
24.209987,12,475.666206
26.497667,13,476.288561
17.243429,12,476.855829
57.82349,15,477.530547
36.635218,13,478.131464
23.063838,13,478.731956
35.786289,14,479.375715
37.381094,14,480.017791
44.645917,15,480.67865
25.204801,13,481.256718
46.477753,15,481.919209
34.614027,13,482.511902
28.291073,15,483.174395
35.0651,13,483.741319
41.039662,15,484.396639
17.321426,12,484.927541
20.164622,12,485.459462
34.048327,13,486.023812
40.6653,14,486.679459
28.589877,13,487.273137
37.081384,15,487.945701
51.844655,14,488.575286
24.783066,12,489.134992
29.338755,15,489.783262
20.431298,13,490.375807
23.37414,13,490.956972
16.835857,12,491.538625
16.053604,12,492.08156
40.130628,16,492.817274
39.16242,14,493.455949
36.989606,14,494.086644
22.290752,13,494.680803
15.891071,12,495.25281
27.504296,14,495.883795
34.460756,15,496.573057
20.299692,12,497.16685
44.234218,14,497.812349
24.527706,12,498.369358
32.69281,13,498.977655
56.994074,15,499.659117
23.688768,12,500.218012
19.518488,12,500.760365
28.146149,13,501.353364
23.193585,12,501.919631
28.634435,13,502.519061
